College_Name,College_Code,Established_Year,Latitude,Longitude,Place,District,Type
GOVT. DEGREE COLLEGE,343,2008,17.009076,81.202529,KAMAVARAPUKOTA,W.G.Dt,Private
SREE SIDDHARTHA DEGREE COLLEGE ,14,2005,16.779094,81.93397,KAPILESWARAPURAM  ,E.G.Dt,Private
SRI VENKATESWARA DEGREE COLLEGE ,120,2001,16.792404,82.062325,RAMACHANDARAPURM                   ,E.G.Dt,Private
SIDDHARDHA DEGREE COLLEGE ,50,2005,16.582946,82.154978,KATRENIKONA            ,E.G.Dt,Private
SRI VENKATA SAI DEGREE COLLEGE,29,2007,17.203943,82.175412,KIRLAMPUDI               ,E.G.Dt,Private
SMT D. A. E. S. DEGREE COLLEGE,52,1994,,,KORUKONDA                 ,E.G.Dt,Private
MOTHER DEGREE COLLEGE ,53,2000,17.58643,82.551248,KOTA NANDURU            ,E.G.Dt,Private
V V S DEGREE COLLEGE ,119,2005,,,U.KOTHAPALLI                E.G. Dt.,E.G.Dt,Private
SATHABDHI DEGREE COLLEGE ,54,2005,,,KOTHAPETA  ,E.G.Dt,Private
V. K. V. GOVT. DEGREE COLLEGE,55,1979,16.71295,81.894742,KOTHAPETA  ,E.G.Dt,Private
A S R  DEGREE COLLEGE,,,,,KOVVUR  ,W.G.Dt,Private
ALLURI BAPINEEDU & PENDYALA RANGA RAO COLLEGE ,346,1999,17.02079,81.721046,KOVVUR  ,W.G.Dt,Private
S V J V  SANSKRIT COLLEGE,347,1912,17.010848,81.731919,KOVVUR  ,W.G.Dt,Private
PRAKASAM DEGREE COLLEGE ,348,2003,17.1299205,81.421287,KOYYALAGUDEM           ,W.G.Dt,Private
SRI SAI DEGREE COLLEGE ,322,2010,16.891945,80.99561,LINGAMPALEM              ,W.G.Dt,Private
AMRUTHA ARTS & SCIENCE DEGREE COLLEGE,56,-,,,MALIKIPURAM     ,E.G.Dt,Private
SRI DEEPTHI MAHILA DEGREE COLLEGE ,57,2005,16.409754,81.804902,MALIKIPURAM     ,E.G.Dt,Private
SRI KADALI NARAYANA MURTHY DEGREE COLLEGE,58,,,,MALIKIPURAM     ,E.G.Dt,Private
M. V. N. J. S. & R. V. R. COLLEGE OF ARTS AND SCIENCE ,59,1972,16.41313,81.804644,MALIKIPURAM                ,E.G.Dt,Private
DEEPTHI DEGREE COLLEGE &,61,2005,16.500938,81.920265,MAMIDIKUDURU                     E.G. Dt.,E.G.Dt,Private
N. G. R. E. S. DEGREE COLLEGE ,70,1993,,,MAMIDIKUDURU                     E.G. Dt.,E.G.Dt,Private
A V R  AND V P R DEGREE COLLEGE,62,2005,,,MANDAPETA     ,E.G.Dt,Private
GOVT. DEGREE COLLEGE,63,1989,,,MANDAPETA     ,E.G.Dt,Private
VIGNAN INSTITUTE OF SCIENCE AND ARTS ,64,2005,16.857889,81.924782,MANDAPETA     ,E.G.Dt,Private
J. C. DEGREE COLLEGE & JAY CHANDRA EDUCATIONAL SOCEITY,65,1994,,,MANDAPETA     ,E.G.Dt,Private
S K V R R  DEGREE COLLEGE,351,1994,,,MOGALTUR                ,W.G.Dt,Private
L A M P DEGREE COLLEGE ,66,1997,,,MUMMIDIVARAM    ,E.G.Dt,Private
SIR DR. R B R V N  MAHILA DEGREE COLLEGE,67,2003,16.640334,82.099241,MUMMIDIVARAM    ,E.G.Dt,Private
SRI SHIRDI SAI DEGREE COLLEGE ,68,1995,,,MUMMIDIVARAM    ,E.G.Dt,Private
DR. SARVEPALLI RADHAKRISHNA DEGREE COLLEGE ,353,1989,,,NALLAJERLA               ,W.G.Dt,Private
A.K.R.G. DEGREE AND P.G. COLLEGE ,352,1991,16.947055,81.409654,NALLAJERLA               ,W.G.Dt,Private
SRI RAGHAVENDRA DEGREE COLLEGE,354,,,81.504521,BHIMAVARAM,W.G.Dt,Private
B. G. B. S. COLLEGE FOR WOMEN,356,1967,16.434426,81.690943,NARSAPUR,W.G.Dt,Private
FLAIZ MEMORIAL ADVENTIST COLLEGE,357,2000,16.428907,81.668965,NARSAPUR,W.G.Dt,Private
N S Z COLLEGE OF MUSIC & DANCE COLLEGE,,,,,NARSAPUR,W.G.Dt,Private
SRI GOWTHAMI DEGREE COLLEGE ,359,2010,16.433898,81.692318,NARSAPUR,W.G.Dt,Private
SRI RAMA KRISHNA DEGREE COLLEGE,360,2005,,,NARSAPUR,W.G.Dt,Private
SRI SURYA DEGREE COLLEGE & SURYA EDUCATIONAL SOCIETY,361,2010,16.43735,81.700489,NARSAPUR,W.G.Dt,Private
SRI. Y. N. COLLEGE (AUTONOMOUS) ,362,1949,16.432759,81.702619,NARSAPUR,W.G.Dt,Private
S V D  GOVT. DEGREE COLLEGE FOR WOMEN,363,1983,,,NIDADAVOLE  ,W.G.Dt,Private
S V R K GOVT. DEGREE COLLEGE FOR BOYS,364,1971,16.910626,81.701074,NIDADAVOLE  ,W.G.Dt,Private
VIKAS DEGREE COLLEGE,378,2005,16.89793,81.68115,NIDADAVOLE  ,W.G.Dt,Private
ANNAPURNA DEGREE COLLEGE ,314,2010,16.705011,81.450402,NIDAMARRU                  ,W.G.Dt,Private
B.R.S. DEGREE COLLEGE ,315,2010,16.704129,81.446141,NIDAMARRU                  ,W.G.Dt,Private
Dr K. V. R. D. & S. G. J. V. S. DEGREE COLLEGE,69,1992,16.598419,81.91527,P.GANNAVARAM            ,W.G.Dt,Private
GRACE DEGREE COLLEGE ,71,2004,16.591422,81.892148,P.GANNAVARAM            ,E.G.Dt,Private
SIDDARTHA DEGREE COLLEGE ,72,2005,,,P.GANNAVARAM            ,E.G.Dt,Private
ADITYA DEGREE COLLEGE ,366,2005,16.518583,81.726119,PALAKOL,W.G.Dt,Private
D N R  GOVT. DEGREE COLLEGE FOR WOMEN,368,1982,16.518944,81.734007,PALAKOL,W.G.Dt,Private
S K R S  ORIENTAL COLLEGE,369,1972,16.518778,81.725627,PALAKOL,W.G.Dt,Private
SRI GOWTAMI DEGREE COLLEGE ,375,2008,16.518978,81.71147,PALAKOL,W.G.Dt,Private
A. S. N. M. GOVT. COLLEGE FOR MEN,365,1968,16.51456,81.737838,PALAKOL,W.G.Dt,Private
B R R  &  G K R  CHAMBER DEGREE COLLEGE,367,1994,16.523427,81.713991,PALAKOL,W.G.Dt,Private
D L R DEGREE COLLEGE ,25,1993,16.944047,82.06569,PEDAPUDI                        ,E.G.Dt,Private
B S R DEGREE COLLEGE ,18,2005,17.146987,82.181316,PEDDAPURAM               ,E.G.Dt,Private
S. R. V. B. S. J. B. MAHA RANEE COLLEGE,73,1967,17.071708,82.151786, PEDDAPURAM               ,E.G.Dt,Private
SRI RAJA RAJESWARI DEGREE COLLEGE,74,2001,17.080605,82.124724,PEDDAPURAM               ,E.G.Dt,Private
AKULA GOPAYYA DEGREE COLLEGE,,,16.812438,81.567077,PENTAPADU               ,W.G.Dt,Private
S.V.K.P. & DR. K.S. RAJU ARTS & SCIENCE DEGREE COLLEGE ,371,1974,16.647048,81.738679,PENUGONDA,W.G.Dt,Private
VISWA TEJA DEGREE COLLEGE ,372,2011,16.652907,81.744172,PENUGONDA,W.G.Dt,Private
MATTREDDY DEGREE COLLEGE ,349,2005,,,PENUMANTRA               ,W.G.Dt,Private
K S N R DEGREE COLLEGE,373,2005,16.641961,81.656708,PENUMANTRA               ,W.G.Dt,Private
SMT. GOTTUMUKKALA SARASWATHI DEGREE COLLEGE ,374,2005,,,GANAPAVARAM                   ,WW,Private
CHAKRAVARTHULA BHASKARA RAO DEGREE COLLEGE ,75,2003,17.114542,82.259574,PITHAPURAM  ,E.G.Dt,Private
GOVT. DEGREE COLLEGE,76,2008,17.116599,82.272504,PITHAPURAM  ,E.G.Dt,Private
S. P. V. S. DEGREE COLLEGE,,,,,PITHAPURAM  ,E.G.Dt,Private
SURYARAYA DEGREE COLLEGE ,78,1992,17.109323,82.249381,PITHAPURAM,E.G.Dt,Private
SANJEEVA DEGREE COLLEGE,123,2008,,,GOLLAPROLU               ,E.G.Dt,Private
MINERVA DEGREE COLLEGE,79,1998,17.227586,82.22342,PRATTIPADU               ,E.G.Dt,Private
R. N. M. DEGREE COLLEGE ,17,1997,,,RAJAHMUNDRY    ,E.G.Dt,Private
CHANDANA NAGEWSWARA RAO DEGREE COLLEGE,33,2010,,,KADIAM ,E.G.Dt,Private
GAYATRI DEGREE COLLEGE,34,2010,,,KADIAM ,E.G.Dt,Private
ADITYA DEGREE COLLEGE,80,2003,17.000324,81.789195,RAJAHMUNDRY    ,E.G.Dt,Private
ADITYA DEGREE COLLEGE FOR WOMEN,81,2003,17.000376,81.787994,RAJAHMUNDRY    ,E.G.Dt,Private
AL-AMEER INSTITUTE OF MANAGEMENT,82,1999,17.007572,81.78825,RAJAHMUNDRY    ,E.G.Dt,Private
ANDHRA KESARI DEGREE COLLEGE ,83,1994,17.006873,81.800556,RAJAHMUNDRY    ,E.G.Dt,Private
